linea,nombre
1,Acuarela
2,Adornos
3,Agenda
4,Aguja
5,Alfiler
6,Archivador
7,Arcilla
8,Aseo
9,Bandeja
10,Block
11,Bloques
12,Bolsa
13,Borrador
14,Calculadora
15,Cartón
16,Cartuchera
17,Cartulina
18,CD
19,Centímetro
20,Cerámica
21,Chenil
22,Chinche
23,Cinta
24,Clip
25,Cola
26,Colgador
27,Color
28,Compás
29,Corrector
30,Cortaúñas
31,Crayola
32,Cronómetro
33,Cuaderno
34,Cuchilla
35,Cuentas
36,Dado
37,Diamantina
38,Directorio
39,Dispensador
40,DVD
41,Encendedor
42,Engrapador
43,Escalimetro
44,Escarcha
45,Esponja
46,Esponjero
47,Etiqueta
48,Fastetner
49,Fechador
50,Ficha
51,Flauta
52,Folder
53,Fomi
54,Forro
55,Globo
56,Goma
57,Grapa
58,Guante
59,Hilo
60,Imperdible
61,Inflador
62,Juego
63,Lámina
64,Lapicero
65,Lápiz
66,Laser
67,Libreta
68,Libro
69,Lienzo
70,Ligas
71,Limpiatipo
72,Lupa
73,Mandil
74,Mangas
75,Masa
76,Mica
77,Mina
78,Moldes
79,Mondadientes
80,Mota
81,Nota
82,Nylon
83,Otro
84,Paleta
85,Palito
86,Papel
87,Pegamento
88,Peine
89,Perforador
90,Pila
91,Pincel
92,Pinchapapeles
93,Pintura
94,Pionner
95,Pistola
96,Plantilla
97,Plastilina
98,Plumón
99,Portaclip
100,Portalápices
101,Portamina
102,Portaplano
103,Portatodo
104,Practiforro
105,Punzón
106,Regla
107,Repuesto
109,Rompecabeza
110,Sacagrapas
111,Serpentina
112,Silicona
113,Sketch
114,Sobre
115,Sticker
116,Sujetador
117,Tablero
118,Tajador
119,Talón
120,Tampón
121,Tarjeta
122,Tarjetero
123,Tecnopor
124,Témpera
125,Tijera
126,Tinta
127,Títeres
128,Tiza
129,Transparencia
130,Transportador
131,Uso
132,Varios
133,Administración
134,Aptitud Académica
135,Biología
136,Cívica
137,Computación
138,Contabilidad
139,Derecho
140,Economía
141,Educación
142,Estadística
143,Filosofía
144,Física
145,General
146,Geografía
147,Historia
148,Idiomas
149,Ingeniería
150,Lenguaje
151,Letras
152,Leyes
153,Literatura
154,Lógica
155,Matemáticas
156,Medicina
157,Motivación
158,Obra
159,Psicología
160,Química
161,Religión
108,Repujador
NULL,NULL
