MARCA,nombre
1,3m
2,Acrilex
3,Alfa
4,Alleanza
5,Alpha
6,Apu
7,Artesco
8,Arti Creativo
9,Artline
10,Bantex
11,Bruño
12,Canson
13,Casio
14,David
15,Dcesar
16,Duracell
17,Eveready
18,Faber
19,Fabriano
20,Gallo
21,Grafipapel
22,Grafiresa
23,Graphos
24,Hope
25,Horse
26,Impreza
27,Intifan
28,Iriscolor
29,Jinri
30,Justus
31,Kenko
32,Kp
33,Kum
34,Layconsa
35,Maped
36,Markbook
37,Memoris
38,Millenium
39,Mylin
40,Navarrete
41,Norma
42,Novus
43,Omega
44,Otro
45,Ove
46,Panasonic
47,PaperMate
48,Parque
49,Parrots
50,Pegafan
51,Pentel
52,Pilot
53,Princo
54,Rapid
55,Report
56,Rotring
57,Sabonis
58,Sadipal
59,Sharpie
60,Shurtape
61,Sony
62,Stabilo
63,Standford
64,Stanlees
65,Stationary
66,Studmark
67,Terokal
68,Toshiba
69,Triz
70,Uhu
71,Uni
72,Vikingo
73,Vinifan
74,Warrior
75,Wingo
76,Libro
77,Ray Perú
NULL,NULL
