CODIGO,DESCRIPCION,ESPECIFICACION,COSTO,SUGERIDO,DESFASE,PUBLICO,PRECIO2,PRECIO3,PRECIO4,CodigoBarras,MARCA,EnVenta,Linea
000001,Acuarela Estuche x8 Colores 24 mm Faber,Copy 31/01/22 Verificar Precio,6.7,8.38,0.63,9,0,0,0,8681241358864,018,Verdadero,001
000002,Acuarela Estuche x12 Colores 24 mm Faber,Copy 05/02/24,9.96,12.45,0.55,13,0,0,0,8681241358871,018,Verdadero,001
000003,Acuarela Estuche x12 Colores + Pincel Arti Creativo,Arti 07/06/23,6.13,7.66,0.34,8,0,0,0,6954156010304,008,Verdadero,001
000004,Acuarela Estuche x12 Colores Kum,-,17.17,21.46,5.54,27,0,0,0,4064900154153,033,Verdadero,001
000005,Sticker Block A5 Personajes,Tatiana 02/10/21,1.67,2.09,0.91,3,0,,,0,044,Verdadero,115
000006,Adornos Escarapela Tela ,Sandra 7/23 (0.17) Ariesthef 03/07/23 (0.21),0.21,0.26,0.24,0.5,0,0,0,0,044,Verdadero,002
000007,Adornos Guirnalda Fiestas Patrias ,Ariesthef 03/07/23,1,1.25,0.25,1.5,0,0,0,0,044,Verdadero,002
000008,Adornos Escarapela Metal ,Ariesthef 03/07/23,0.36,0.45,0.55,1,0,0,0,0,044,Verdadero,002
000009,Adornos Gorro Navideño ,-,1.5,1.88,0.63,2.5,0,0,0,0,044,Verdadero,002
000010,Adornos Banderitas Chicas,Ariesthef 08/07/23,0.83,1.04,0.46,1.5,0,0,0,0,044,Verdadero,002
000011,Adornos Guirnalda Navidad,RyS 06/12/22 (1.41). Ariesthef 21/11/23 (1.0),1,1.25,0.25,1.5,0,0,0,0,044,Verdadero,002
000012,Adornos Ojos Móviles Bolsa ,Tiras = 4 soles tira x12 ojos c/parpado Toc Toc 28/06/23,0.3333,0.42,0.58,1,0,0,0,0,044,Verdadero,002
000013,Adornos Ojos Móviles 14 mm ,"Pqtex2,000 Ariesthef 07/12/23",0.08,0.1,0.1,0.2,2,0,0,0,044,Verdadero,002
000014,Adornos Ojos Móviles 18 mm ,"Pqtex2,000 Ariesthef 07/12/23",0.12,0.15,0.05,0.2,2,0,0,0,044,Verdadero,002
000015,Adornos Ojos Móviles 22 mm ,"Pqtex1,000; Doce = 2 soles",0.07,0.09,0.21,0.3,3,0,0,0,044,Verdadero,002
000016,Adornos Ojos Móviles 24 mm ,"Pqtex1,000 Ariesthef 07/12/23",0.18,0.22,0.08,0.3,3,0,0,0,044,Verdadero,002
000017,Adornos Ojos Móviles 28 mm ,Pqtex500; Doce = 3 soles,0.13,0.16,0.34,0.5,5,0,0,0,044,Verdadero,002
000018,Adornos Ojos Móviles 35 mm ,Pqtex400; Doce = 3 soles,0.15,0.19,0.31,0.5,5,0,0,0,044,Verdadero,002
000019,Lazos Mágicos Organza,72x5 cm Bolsa x10 (400 millar) Kokaz 08/12/2023,0.4,0.5,0.5,1,0.5,8,4,0,044,Verdadero,002
000020,Adornos Lentejuelas en Pote ,-,0.75,0.94,0.56,1.5,0,0,0,0,044,Verdadero,002
000021,Adornos Texturador Cartulina y Papel Kp,-,8.36,10.45,1.55,12,0,0,0,0,032,Verdadero,002
000022,Adornos Lentejuelas en Bolsa ,Plancha x25,0.14,0.18,0.32,0.5,1,0,0,0,044,Verdadero,002
000023,Tarjeta Léxica C-D Parque,-,4.4,5.5,2.5,8,0,,,0,048,Falso,121
000024,Agenda Bolsillo Universal,-,0.6,0.75,0.25,1,0,0,0,0,044,Falso,003
000025,Agenda Diaria Deluxe 2022 - Negro Navarrete,Navarrete 30/10/21,13.52,16.9,3.1,20,18,0,0,0,040,Falso,003
000026,Agenda Diaria 2025,Henriquez 10/10/24,7.5,9.38,0.63,10,8,0,0,0,044,Verdadero,003
000027,Agenda Diaria Cartera 10x18 cm ,Por Mayor S/. 7.00,5,6.25,2.75,9,0,0,0,0,044,Falso,003
000028,Agenda Diaria Premium 2022 - Habano Navarrete,Navarrete 30/10/21,15.88,19.85,0.15,20,18,0,0,0,040,Falso,003
000029,Agenda Diaria Executive 2022 - Negro Navarrete,Navarrete 30/10/21,15.88,19.85,0.15,20,18,0,0,0,040,Falso,003
000030,Agenda Diaria Executive 2022 - Guinda Navarrete,Navarrete 30/10/21,15.88,19.85,0.15,20,18,0,0,0,040,Falso,003
000031,Agenda Diaria Executive 2022 - Habano Navarrete,Navarrete 30/10/21,15.88,19.85,0.15,20,18,0,0,0,040,Falso,003
000032,Agenda Diaria Elegant 2022 - Negro Navarrete,Navarrete 30/10/21,15.88,19.85,0.15,20,18,0,0,0,040,Falso,003
000033,Agenda Diaria Elegant 2022 - Azul Navarrete,Navarrete 30/10/21,15.88,19.85,0.15,20,18,0,0,0,040,Falso,003
000034,Agenda Diaria Elegant 2022 - Habano Navarrete,Navarrete 30/10/21,15.88,19.85,0.15,20,18,0,0,0,040,Falso,003
000035,Agenda Diaria Oceania 2020 Arti Creativo,Por Mayor S/. 15.00,11.35,14.19,2.81,17,0,0,0,0,008,Falso,003
000036,Libreta Planner x160 hjs x 80 gr,Arti 30/08/25,11.35,14.19,1.81,16,0,0,0,0,008,Verdadero,003
000037,Agenda Diaria Venecia 2020 Arti Creativo,Por Mayor S/. 15.00,11.35,14.19,2.81,17,0,0,0,0,008,Falso,003
000038,Agenda Diaria - Chica 2020 ,Henriquez ; Por Mayor S/. 6.00,4,5,2,7,0,0,0,0,044,Falso,003
000039,Agenda Diaria Premium 2022 - Azul Navarrete,Navarrete 30/10/21,15.88,19.85,0.15,20,18,0,0,0,040,Falso,003
